fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
3,paired_reference,701,slide_4,0.6876382210850716,0.6221203923225402,0.995,0.95,0.74
3,paired_reference,702,slide_4,0.7030766361951828,0.6429492652416229,0.99,0.95,0.72
3,paired_reference,703,slide_4,0.700340838432312,0.6413783729076385,0.99,0.95,0.66
3,paired_reference,704,slide_4,0.6994969695806503,0.6309749513864518,0.965,0.85,0.74
3,paired_reference,705,slide_4,0.6923652136325836,0.6290134787559509,0.985,0.95,0.66
4,paired_reference,701,slide_40,0.7139185979962349,0.6734265685081482,0.97,0.9,0.36
4,paired_reference,702,slide_40,0.7359315794706345,0.6976648211479187,0.975,0.9,0.4
4,paired_reference,703,slide_40,0.7193329584598541,0.6802961230278015,0.99,0.95,0.38
4,paired_reference,704,slide_40,0.7232566332817078,0.6818683981895447,0.97,0.85,0.32
4,paired_reference,705,slide_40,0.7228931468725205,0.6850842595100403,0.975,0.9,0.36
0,paired_reference,701,slide_41,0.6761818304657936,0.6083270817995071,0.975,0.95,0.6
0,paired_reference,702,slide_41,0.6924053251743316,0.6221195459365845,0.975,0.9,0.62
0,paired_reference,703,slide_41,0.6742472741007804,0.6075302183628082,0.95,0.9,0.56
0,paired_reference,704,slide_41,0.6771165236830712,0.6206177979707718,0.95,0.9,0.62
0,paired_reference,705,slide_41,0.6796074858307839,0.6191329061985016,0.96,0.95,0.66
3,paired_reference,701,slide_42,0.608393188714981,0.5009595543146134,0.965,0.9,0.88
3,paired_reference,702,slide_42,0.6169666886329651,0.5298493593931198,0.965,0.9,0.78
3,paired_reference,703,slide_42,0.6098685570061206,0.5179938971996307,0.97,0.9,0.64
3,paired_reference,704,slide_42,0.6202079901099204,0.5358888536691666,0.965,0.9,0.76
3,paired_reference,705,slide_42,0.6202138966321945,0.5417681694030761,0.97,0.9,0.94
4,paired_reference,701,slide_43,0.6274787476658821,0.5514033317565918,0.95,0.85,0.74
4,paired_reference,702,slide_43,0.6101043677330017,0.5143029123544693,0.945,0.85,0.72
4,paired_reference,703,slide_43,0.6057994423806667,0.5362298160791397,0.935,0.85,0.74
4,paired_reference,704,slide_43,0.6233790250122547,0.5383684009313583,0.935,0.8,0.66
4,paired_reference,705,slide_43,0.6098439687490463,0.5369553536176681,0.93,0.85,0.72
4,paired_reference,701,slide_44,0.6428318706154823,0.5230305790901184,0.965,0.85,0.74
4,paired_reference,702,slide_44,0.6227491700649261,0.5119845002889634,0.945,0.85,0.8
4,paired_reference,703,slide_44,0.6346359348297119,0.5437233150005341,0.97,0.9,0.78
4,paired_reference,704,slide_44,0.6305041335523128,0.5307424500584602,0.945,0.85,0.82
4,paired_reference,705,slide_44,0.6410802522301674,0.5419629693031311,0.95,0.85,0.74
1,paired_reference,701,slide_45,0.6041352361440658,0.4996401995420456,0.975,0.9,0.8
1,paired_reference,702,slide_45,0.595485877096653,0.48487901985645293,0.99,0.95,0.68
1,paired_reference,703,slide_45,0.6062260828912258,0.49718079119920733,0.99,0.95,0.72
1,paired_reference,704,slide_45,0.6013318705558777,0.5220711991190911,0.98,0.95,0.78
1,paired_reference,705,slide_45,0.5945186537504196,0.5146563231945038,0.985,0.95,0.74
4,paired_reference,701,slide_46,0.61308748960495,0.5525958001613617,0.995,0.95,0.88
4,paired_reference,702,slide_46,0.6199420899152756,0.5565884649753571,0.995,0.95,0.74
4,paired_reference,703,slide_46,0.6077944678068161,0.5386942237615585,0.99,0.95,0.76
4,paired_reference,704,slide_46,0.6112766952812672,0.5426202446222306,0.99,0.95,0.64
4,paired_reference,705,slide_46,0.6084199592471122,0.5394363969564437,0.995,0.95,0.78
0,paired_reference,701,slide_47,0.6578099665045738,0.5905566871166229,1.0,1.0,0.54
0,paired_reference,702,slide_47,0.6522545060515403,0.5809074401855469,0.995,0.95,0.64
0,paired_reference,703,slide_47,0.6522862154245377,0.577160432934761,1.0,1.0,0.54
0,paired_reference,704,slide_47,0.6226521670818329,0.5417607575654984,0.99,0.95,0.56
0,paired_reference,705,slide_47,0.6467648416757583,0.5797451049089432,0.985,0.95,0.74
2,paired_reference,701,slide_48,0.670538242161274,0.5960867553949356,1.0,1.0,0.54
2,paired_reference,702,slide_48,0.6635961472988129,0.581254044175148,0.99,0.9,0.56
2,paired_reference,703,slide_48,0.6562744943797588,0.545501796901226,0.975,0.85,0.66
2,paired_reference,704,slide_48,0.6751238560676575,0.5942020952701569,1.0,1.0,0.56
2,paired_reference,705,slide_48,0.6668309590220451,0.5940439313650131,1.0,1.0,0.64
1,paired_reference,701,slide_5,0.6477939391136169,0.5449778497219085,0.965,0.9,0.8
1,paired_reference,702,slide_5,0.644231641292572,0.5437469333410263,0.965,0.9,0.72
1,paired_reference,703,slide_5,0.6481902354955673,0.5621254414319992,0.975,0.95,0.74
1,paired_reference,704,slide_5,0.6555099213123321,0.5816930532455444,0.98,0.95,0.78
1,paired_reference,705,slide_5,0.6408854427933693,0.5631506562232971,0.955,0.9,0.74
3,paired_reference,701,slide_6,0.598356000483036,0.5401447921991348,0.915,0.85,0.78
3,paired_reference,702,slide_6,0.5925629124045372,0.5309314981102944,0.88,0.8,0.84
3,paired_reference,703,slide_6,0.5869823651015759,0.5127684965729713,0.91,0.8,0.8
3,paired_reference,704,slide_6,0.6175651744008064,0.5825829654932022,0.89,0.75,0.86
3,paired_reference,705,slide_6,0.6095069880783558,0.5535420045256615,0.9,0.8,0.8
2,paired_reference,701,slide_7,0.5835996443033218,0.498306080698967,0.95,0.85,0.56
2,paired_reference,702,slide_7,0.5967837274074554,0.5175095140933991,0.955,0.85,0.58
2,paired_reference,703,slide_7,0.603354801684618,0.5347782135009765,0.93,0.8,0.66
2,paired_reference,704,slide_7,0.5947103238105774,0.5172276228666306,0.945,0.9,0.58
2,paired_reference,705,slide_7,0.5990316565334797,0.5019439429044723,0.93,0.85,0.7
2,paired_reference,701,slide_8,0.6748658376932144,0.5921762824058533,0.98,0.95,0.46
2,paired_reference,702,slide_8,0.6735644799470901,0.6203582614660264,0.995,0.95,0.5
2,paired_reference,703,slide_8,0.694210655093193,0.6339748352766037,0.995,0.95,0.54
2,paired_reference,704,slide_8,0.6707512858510017,0.5945702433586121,0.975,0.9,0.5
2,paired_reference,705,slide_8,0.6816029432415962,0.6289831429719925,0.995,0.95,0.54
2,paired_reference,701,slide_9,0.6999235671758651,0.6289478003978729,1.0,1.0,0.56
2,paired_reference,702,slide_9,0.7026457959413528,0.6225113958120346,0.99,0.95,0.5
2,paired_reference,703,slide_9,0.6981788355112076,0.627137741446495,0.995,0.95,0.54
2,paired_reference,704,slide_9,0.6935685965418815,0.6086310148239136,1.0,1.0,0.54
2,paired_reference,705,slide_9,0.6956992834806442,0.6249164044857025,0.99,0.95,0.66
1,paired_acquisition_dep20,701,slide_1,0.7319721314311027,0.6239471048116684,0.995,0.95,0.2
1,paired_acquisition_dep20,702,slide_1,0.745074971318245,0.6380374431610107,0.995,0.95,0.14
1,paired_acquisition_dep20,703,slide_1,0.749591514468193,0.6459297895431518,0.995,0.95,0.24
1,paired_acquisition_dep20,704,slide_1,0.7452381247282028,0.6489157021045685,1.0,1.0,0.26
1,paired_acquisition_dep20,705,slide_1,0.732526506781578,0.627214229106903,1.0,1.0,0.36
2,paired_acquisition_dep20,701,slide_10,0.6352012777328491,0.5516370177268982,0.965,0.9,0.24
2,paired_acquisition_dep20,702,slide_10,0.6537060004472732,0.5941533327102662,0.95,0.9,0.24
2,paired_acquisition_dep20,703,slide_10,0.6682241153717041,0.5966153681278229,0.955,0.9,0.26
2,paired_acquisition_dep20,704,slide_10,0.6531308215856552,0.568204003572464,0.965,0.95,0.18
2,paired_acquisition_dep20,705,slide_10,0.6475937408208847,0.5810891181230545,0.96,0.9,0.26
0,paired_acquisition_dep20,701,slide_11,0.6224221750348806,0.5250986754894257,0.91,0.85,0.22
0,paired_acquisition_dep20,702,slide_11,0.621155581176281,0.5310587137937546,0.93,0.8,0.24
0,paired_acquisition_dep20,703,slide_11,0.6513278143107891,0.5624367862939834,0.94,0.85,0.28
0,paired_acquisition_dep20,704,slide_11,0.6355017670989036,0.5397617042064666,0.94,0.8,0.34
0,paired_acquisition_dep20,705,slide_11,0.6229791182279587,0.5345040440559388,0.93,0.8,0.38
1,paired_acquisition_dep20,701,slide_12,0.6324421292543412,0.5603338003158569,1.0,1.0,0.42
1,paired_acquisition_dep20,702,slide_12,0.6378055110573768,0.571639958024025,0.99,0.9,0.32
1,paired_acquisition_dep20,703,slide_12,0.6436408856511115,0.5905297517776489,1.0,1.0,0.32
1,paired_acquisition_dep20,704,slide_12,0.6543040764331818,0.6040763348340988,1.0,1.0,0.2
1,paired_acquisition_dep20,705,slide_12,0.6450224605202675,0.5778541713953018,1.0,1.0,0.24
3,paired_acquisition_dep20,701,slide_13,0.6841286426782608,0.6219726651906967,1.0,1.0,0.36
3,paired_acquisition_dep20,702,slide_13,0.6818708518147468,0.6546789586544037,1.0,1.0,0.36
3,paired_acquisition_dep20,703,slide_13,0.6858028274774551,0.6418856382369995,1.0,1.0,0.3
3,paired_acquisition_dep20,704,slide_13,0.6924054595828056,0.6466279923915863,0.995,0.95,0.22
3,paired_acquisition_dep20,705,slide_13,0.690726472735405,0.6399254977703095,1.0,1.0,0.28
0,paired_acquisition_dep20,701,slide_14,0.6742251524329186,0.5862121880054474,0.995,0.95,0.22
0,paired_acquisition_dep20,702,slide_14,0.6389123946428299,0.5372264385223389,0.985,0.95,0.26
0,paired_acquisition_dep20,703,slide_14,0.6524347627162933,0.5687124997377395,1.0,1.0,0.3
0,paired_acquisition_dep20,704,slide_14,0.663746885061264,0.564892265200615,1.0,1.0,0.38
0,paired_acquisition_dep20,705,slide_14,0.6429521915316582,0.5371780335903168,0.985,0.9,0.22
1,paired_acquisition_dep20,701,slide_15,0.6085002368688583,0.545141339302063,0.955,0.85,0.26
1,paired_acquisition_dep20,702,slide_15,0.622431808412075,0.5726336896419525,0.995,0.95,0.3
1,paired_acquisition_dep20,703,slide_15,0.5813603492081165,0.46546279191970824,0.945,0.75,0.4
1,paired_acquisition_dep20,704,slide_15,0.614191421866417,0.5369919240474701,0.98,0.9,0.36
1,paired_acquisition_dep20,705,slide_15,0.6066926428675652,0.5234042674303054,0.94,0.85,0.38
2,paired_acquisition_dep20,701,slide_16,0.6689296907186508,0.5441111594438552,0.945,0.75,0.34
2,paired_acquisition_dep20,702,slide_16,0.6845119932293892,0.5864658832550049,0.94,0.8,0.32
2,paired_acquisition_dep20,703,slide_16,0.6819755184650421,0.5920391052961349,0.935,0.8,0.3
2,paired_acquisition_dep20,704,slide_16,0.6853991167247295,0.5704789519309997,0.92,0.65,0.22
2,paired_acquisition_dep20,705,slide_16,0.6707898992300033,0.55960453748703,0.955,0.85,0.38
0,paired_acquisition_dep20,701,slide_17,0.5748476929962635,0.5096788242459297,0.945,0.85,0.38
0,paired_acquisition_dep20,702,slide_17,0.587889217287302,0.5370304211974144,0.955,0.9,0.22
0,paired_acquisition_dep20,703,slide_17,0.5951592309772968,0.5349686041474342,0.94,0.8,0.34
0,paired_acquisition_dep20,704,slide_17,0.5916242624819279,0.5238019362092018,0.925,0.8,0.12
0,paired_acquisition_dep20,705,slide_17,0.5878380145132541,0.5212607830762863,0.935,0.85,0.3
1,paired_acquisition_dep20,701,slide_18,0.6501992630958557,0.5311480939388276,0.99,0.9,0.32
1,paired_acquisition_dep20,702,slide_18,0.6308325374126434,0.5172341197729111,0.985,0.9,0.26
1,paired_acquisition_dep20,703,slide_18,0.6611575672030449,0.5723089784383774,0.995,0.95,0.3
1,paired_acquisition_dep20,704,slide_18,0.6524801389873027,0.5367699176073074,0.99,0.9,0.38
1,paired_acquisition_dep20,705,slide_18,0.6528832039237022,0.5500895828008652,0.99,0.9,0.26
4,paired_acquisition_dep20,701,slide_19,0.6544794115424156,0.5767570853233337,0.955,0.9,0.28
4,paired_acquisition_dep20,702,slide_19,0.6604499331116677,0.5659814506769181,0.965,0.9,0.26
4,paired_acquisition_dep20,703,slide_19,0.655934873521328,0.5743648737668992,0.965,0.9,0.34
4,paired_acquisition_dep20,704,slide_19,0.6637942498922348,0.5741406798362731,0.975,0.9,0.3
4,paired_acquisition_dep20,705,slide_19,0.654945141673088,0.5467569261789322,0.965,0.9,0.38
4,paired_acquisition_dep20,701,slide_2,0.605602088868618,0.5019731938838958,0.99,0.9,0.4
4,paired_acquisition_dep20,702,slide_2,0.6231663063168525,0.5684631317853928,0.995,0.95,0.36
